,Address,Lat,Lng,Name,Avgscore
0,"59th to 110th Street, Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022",40.783004999999996,-73.96536,Central Park,9.0
1,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089",40.71151,-74.01332,The National 9/11 Memorial & Museum,9.0
2,"1000 5th Ave, New York City, NY 10028-0198",40.77943,-73.96324,The Metropolitan Museum of Art,10.0
3,"30 Rockefeller Center, New York City, NY",40.758884,-73.979385,Top of the Rock Observation Deck,9.0
4,"New York City, NY",40.748329999999996,-73.98568,Manhattan Skyline,10.0
5,"New York City, NY 10014",40.739437,-74.0083,The High Line,9.0
6,"New York City, NY",40.75797,-73.985535,Broadway,9.0
7,"89 E 42nd Street, New York City, NY 10017-5503",40.752728000000005,-73.97723,Grand Central Terminal,9.0
8,"350 Fifth Avenue, Between 33rd and 34th Streets, New York City, NY 10118-0110",40.748135,-73.9848,Empire State Building,9.0
9,"Liberty Island, New York City, NY 10004",40.68976,-74.045135,Statue of Liberty,9.0
10,"1 World Trade Center, One World Trade Center, New York City, NY 10007-0089",40.71324,-74.0132,One World Observatory - World Trade Center,9.0
11,"460 Madison Avenue, New York City, NY 10022",40.758778,-73.97694,St. Patrick's Cathedral,9.0
12,"1260 6th Avenue (Avenue of the Americas), Between 50th and 51st Streets, New York City, NY 10020",40.76,-73.98033000000001,Radio City Music Hall,9.0
13,"45 Rockefeller Plaza, New York City, NY 10111-0100",40.758736,-73.97867600000001,Rockefeller Center,9.0
14,"99 Margaret Corbin Drive, Fort Tryon Park, New York City, NY 10040",40.864834,-73.932014,The Met Cloisters,9.0
15,"4 Penn Plaza, New York City, NY 10121-0078",40.750504,-73.99344,Madison Square Garden,9.0
16,"Broadway, New York City, NY 10036",40.75889,-73.98512,Times Square,9.0
17,"New York City, NY",40.756104,-73.98245,Fifth Avenue,9.0
18,"14th Street and West of Broadway, New York City, NY",40.73028,-73.99819000000001,Greenwich Village,9.0
19,"Broadway at 60th St, Frederick P. Rose Hall, New York City, NY 10019",40.76812,-73.98225,Jazz at Lincoln Center,9.0
20,"225 Madison Avenue at 36th Street, New York City, NY 10016",40.748928,-73.9813,The Morgan Library & Museum,9.0
21,"209 Broadway, b/t Fulton Street & Vesey Street, New York City, NY 10022",40.711773,-74.00939,St. Paul's Chapel,9.0
22,"New York City, NY",40.73469,-74.00541,West Village,9.0
23,"South of Houston Street, New York City, NY",40.724037,-73.99788000000001,SoHo,9.0
24,"New York Harbor, New York City, NY 10017",40.6989,-74.03971999999999,Ellis Island,9.0
25,"West 4th Street, Greenwich Village, New York City, NY 10001",40.730846,-73.99752,Washington Square Park,9.0
26,"385 So. End Avenue, St. Josephäó»s Chapel, New York City, NY 10280",40.711628000000005,-74.01661,St Joseph's Chapel Catholic Memorial at Ground Zero,9.0
27,"405 Lexington and 42nd St., New York City, NY 10174",40.75162,-73.9755,Chrysler Building,9.0
28,"1047 Amsterdam Ave., New York City, NY 10025",40.8039,-73.96301,Cathedral Church of Saint John the Divine,9.0
29,"New York City, NY",40.723007,-74.00063,Lower Manhattan,9.0
30,"175 Fifth Ave., At 23rd St., New York City, NY 10010",40.741054999999996,-73.98971,Flatiron Building,9.0
31,"New York Harbor, Ferry Terminal, New York City, NY 10004",40.68889,-74.01849,Governors Island National Monument,9.0
32,"South Street and FDR Drive, New York City, NY 10002",40.70762,-73.99089000000001,Manhattan Bridge,9.0
33,"Columbus and Amsterdam Ave., between 63rd and 85th Streets, New York City, NY",40.787279999999996,-73.97568000000001,Upper West Side,9.0
34,"89 Broadway, New York City, NY 10006",40.708059999999996,-74.01218399999999,Trinity Church,9.0
35,"89 E 42nd St, Grand Central Terminal, New York City, NY 10017-5503",40.75242,-73.97609,Grand Central Market,9.0
36,"1 West 53rd St, New York City, NY 10019",40.760597,-73.976364,St. Thomas Church,9.0
